random_seed,n_neurons,n_train,inhib,time,timestep,theta_plus,theta_decay,norm,intensity,progress_interval,update_interval,mean_all_activity,mean_proportion_weighting,mean_ngram,max_all_activity,max_proportion_weighting,max_ngram
1,400,16000,100.0,250,1.0,5.0,0.0001,37.5,0.5,10,100,51.70625,51.94375,51.9,65.0,66.0,65.0
1,400,16000,100.0,250,1.0,5.0,1e-05,50.0,0.5,10,100,58.38125,58.7375,59.3,73.0,73.0,78.0
1,400,16000,100.0,250,1.0,5.0,0.001,37.5,0.5,10,100,46.40625,46.88125,47.30625,58.0,58.0,60.000004
1,400,16000,100.0,250,1.0,5.0,1e-05,37.5,0.5,10,100,58.0125,58.08125,59.00625,71.0,72.0,72.0
1,400,16000,100.0,250,1.0,5.0,0.001,87.5,0.5,10,100,51.31875,51.41875,52.09375,62.0,64.0,64.0
1,400,16000,100.0,250,1.0,10.0,1e-05,87.5,0.5,10,100,58.875,58.89375,58.8625,73.0,72.0,74.0
1,400,16000,100.0,250,1.0,10.0,1e-05,37.5,0.5,10,100,59.6625,60.1875,59.1375,72.0,73.0,70.0
1,400,16000,100.0,250,1.0,5.0,0.001,62.575,0.5,10,100,50.83125,51.08125,51.70625,67.0,68.0,68.0
1,400,16000,100.0,250,1.0,10.0,1e-05,62.575,0.5,10,100,59.775,60.3125,59.825,77.0,77.0,74.0
11,100,16000,100.0,250,1.0,1.0,1e-05,75.0,0.5,10,100,50.3,50.28125,54.0125,67.0,66.0,67.0
14,100,16000,100.0,250,1.0,1.0,1e-05,62.5,0.5,10,100,51.55625,51.825,53.73125,63.0,65.0,68.0
14,100,16000,100.0,250,1.0,1.0,1e-05,50.0,0.5,10,100,49.64375,49.925,52.80625,63.0,64.0,68.0
14,100,16000,100.0,250,1.0,1.0,1e-05,75.0,0.5,10,100,49.225,49.28125,52.9375,67.0,65.0,68.0
1,400,16000,100.0,250,1.0,5.0,0.0001,62.575,0.5,10,100,55.43125,55.5,55.53125,72.0,73.0,74.0
11,100,16000,100.0,250,1.0,2.5,1e-05,50.0,0.5,10,100,50.56875,50.8625,54.7125,66.0,68.0,71.0
13,100,16000,100.0,250,1.0,2.5,1e-05,75.0,0.5,10,100,51.175,51.2625,52.5875,64.0,64.0,66.0
12,100,16000,100.0,250,1.0,1.0,1e-05,75.0,0.5,10,100,50.53125,50.6375,52.4125,66.0,64.0,63.0
14,100,16000,100.0,250,1.0,2.5,1e-05,62.5,0.5,10,100,50.6875,50.83125,52.80625,66.0,65.0,66.0
12,100,16000,100.0,250,1.0,2.5,1e-05,62.5,0.5,10,100,48.76875,48.58125,52.875,68.0,66.0,64.0
13,100,16000,100.0,250,1.0,1.0,1e-05,75.0,0.5,10,100,49.3625,49.43125,53.18125,67.0,66.0,68.0
12,100,16000,100.0,250,1.0,2.5,1e-05,75.0,0.5,10,100,50.55625,50.275,52.175,69.0,68.0,68.0
13,100,16000,100.0,250,1.0,5.0,1e-05,62.5,0.5,10,100,50.38125,50.55625,52.525,68.0,67.0,66.0
12,100,16000,100.0,250,1.0,5.0,1e-05,50.0,0.5,10,100,49.9375,49.94375,51.9875,64.0,65.0,69.0
12,100,16000,100.0,250,1.0,1.0,1e-05,62.5,0.5,10,100,51.3875,51.5375,53.5,63.0,64.0,65.0
13,100,16000,100.0,250,1.0,5.0,1e-05,50.0,0.5,10,100,51.1125,51.25625,53.09375,65.0,66.0,64.0
13,100,16000,100.0,250,1.0,1.0,1e-05,50.0,0.5,10,100,52.15625,52.31875,54.65,69.0,69.0,68.0
14,100,16000,100.0,250,1.0,5.0,1e-05,62.5,0.5,10,100,50.70625,50.73125,52.56875,70.0,69.0,68.0
13,100,16000,100.0,250,1.0,1.0,1e-05,62.5,0.5,10,100,50.875,50.9375,53.6875,61.0,63.0,67.0
12,100,16000,100.0,250,1.0,5.0,1e-05,62.5,0.5,10,100,49.675,49.4875,51.89375,63.0,67.0,65.0
14,100,16000,100.0,250,1.0,5.0,1e-05,50.0,0.5,10,100,50.10625,50.30625,52.00625,62.0,63.0,67.0
14,100,16000,100.0,250,1.0,5.0,1e-05,75.0,0.5,10,100,49.7125,49.74375,51.46875,68.0,68.0,67.0
11,100,16000,100.0,250,1.0,2.5,1e-05,62.5,0.5,10,100,49.59375,49.8375,53.88125,66.0,65.0,68.0
1,400,16000,100.0,250,1.0,5.0,0.0001,87.5,0.5,10,100,55.325,55.33125,55.325,69.0,69.0,67.0
12,100,16000,100.0,250,1.0,5.0,1e-05,75.0,0.5,10,100,48.73125,48.66875,51.4125,65.0,66.0,65.0
1,400,16000,100.0,250,1.0,10.0,1e-05,50.0,0.5,10,100,59.85625,60.4,59.9375,74.0,76.0,75.0
11,100,16000,100.0,250,1.0,5.0,1e-05,50.0,0.5,10,100,49.9625,50.0125,53.49375,69.0,67.0,70.0
14,100,16000,100.0,250,1.0,2.5,1e-05,50.0,0.5,10,100,51.03125,51.39375,53.0875,64.0,66.0,66.0
11,200,16000,100.0,250,1.0,1.0,1e-05,75.0,0.5,10,100,54.09375,54.29375,56.75,70.0,70.0,70.0
11,200,16000,100.0,250,1.0,1.0,1e-05,62.5,0.5,10,100,55.55625,55.63125,57.33125,68.0,68.0,70.0
12,100,16000,100.0,250,1.0,1.0,1e-05,50.0,0.5,10,100,50.36875,50.5875,53.51875,67.0,65.0,67.0
12,200,16000,100.0,250,1.0,1.0,1e-05,62.5,0.5,10,100,54.19375,54.3,56.0,68.0,68.0,67.0
12,200,16000,100.0,250,1.0,1.0,1e-05,75.0,0.5,10,100,52.79375,52.96875,55.73125,65.0,64.0,69.0
