random_seed,n_neurons,n_train,excite,inhib,time,timestep,theta_plus,theta_decay,intensity,progress_interval,update_interval,X_Ae_decay,mean_all_activity,mean_proportion_weighting,max_all_activity,max_proportion_weighting
1,400,60000,100.0,400.0,350,1.0,0.05,1e-07,0.45,10,250,0.25,83.54583333333333,83.84583333333333,95,95
1,400,60000,100.0,450.0,350,1.0,0.05,1e-07,0.45,10,250,0.75,84.06666666666666,84.29583333333333,93,94
1,400,60000,100.0,550.0,200,1.0,0.05,1e-07,0.45,10,250,0.0,81.80416666666666,82.02916666666667,92,93
2,225,60000,100.0,450.0,350,1.0,0.05,1e-07,0.45,10,250,0.25,83.02916666666667,83.73333333333333,93,93
1,225,60000,100.0,400.0,350,1.0,0.05,1e-07,0.45,10,250,0.5,83.675,84.19583333333334,92,93
1,400,60000,100.0,450.0,350,1.0,0.05,1e-07,0.45,10,250,0.0,84.06666666666666,84.29583333333333,93,94
1,400,60000,100.0,400.0,350,1.0,0.05,1e-07,0.45,10,250,0.5,83.54583333333333,83.84583333333333,95,95
1,400,60000,100.0,550.0,350,1.0,0.05,1e-07,0.45,10,250,0.0,82.89166666666667,83.05833333333334,94,94
1,400,60000,100.0,450.0,350,1.0,0.05,1e-07,0.45,10,250,0.25,84.06666666666666,84.29583333333333,93,94
1,400,60000,100.0,550.0,350,1.0,0.05,1e-07,0.45,10,250,0.25,82.89166666666667,83.05833333333334,94,94
1,625,60000,100.0,400.0,275,1.0,0.05,1e-07,0.45,10,250,0.0,83.975,84.15833333333333,95,95
1,400,60000,100.0,500.0,350,1.0,0.05,1e-07,0.45,10,250,0.25,82.77916666666667,82.9875,93,93
1,625,60000,100.0,500.0,200,1.0,0.05,1e-07,0.45,10,250,0.5,80.7,80.89583333333333,93,93
1,400,60000,100.0,500.0,350,1.0,0.05,1e-07,0.45,10,250,0.5,82.77916666666667,82.9875,93,93
1,625,60000,100.0,400.0,275,1.0,0.05,1e-07,0.45,10,250,0.5,83.975,84.15833333333333,95,95
1,625,60000,100.0,450.0,200,1.0,0.05,1e-07,0.45,10,250,0.0,81.5875,81.87916666666666,95,95
1,400,60000,100.0,500.0,350,1.0,0.05,1e-07,0.45,10,250,0.75,82.77916666666667,82.9875,93,93
1,625,60000,100.0,400.0,275,1.0,0.05,1e-07,0.45,10,250,0.75,83.975,84.15833333333333,95,95
1,400,60000,100.0,550.0,350,1.0,0.05,1e-07,0.45,10,250,0.75,82.89166666666667,83.05833333333334,94,94
2,225,60000,100.0,450.0,275,1.0,0.05,1e-07,0.45,10,250,0.5,83.34583333333333,83.8875,93,94
1,225,60000,100.0,500.0,275,1.0,0.05,1e-07,0.45,10,250,0.0,82.04583333333333,82.70833333333333,92,92
1,625,60000,100.0,450.0,275,1.0,0.05,1e-07,0.45,10,250,0.25,83.7375,83.89583333333333,96,96
1,625,60000,100.0,450.0,275,1.0,0.05,1e-07,0.45,10,250,0.5,83.7375,83.89583333333333,96,96
1,225,60000,100.0,400.0,275,1.0,0.05,1e-07,0.45,10,250,0.75,83.09583333333333,83.47916666666667,94,92
2,225,60000,100.0,400.0,275,1.0,0.05,1e-07,0.45,10,250,0.0,83.475,83.90833333333333,93,93
1,225,60000,100.0,550.0,275,1.0,0.05,1e-07,0.45,10,250,0.5,83.15833333333333,83.45416666666667,91,92
1,625,60000,100.0,500.0,275,1.0,0.05,1e-07,0.45,10,250,0.75,83.4125,83.66666666666667,96,96
1,625,60000,100.0,500.0,275,1.0,0.05,1e-07,0.45,10,250,0.0,83.4125,83.66666666666667,96,96
1,625,60000,100.0,550.0,275,1.0,0.05,1e-07,0.45,10,250,0.5,83.38333333333334,83.55833333333334,95,95
1,625,60000,100.0,550.0,275,1.0,0.05,1e-07,0.45,10,250,0.75,83.38333333333334,83.55833333333334,95,95
1,625,60000,100.0,500.0,275,1.0,0.05,1e-07,0.45,10,250,0.25,83.4125,83.66666666666667,96,96
1,625,60000,100.0,550.0,275,1.0,0.05,1e-07,0.45,10,250,0.25,83.38333333333334,83.55833333333334,95,95
1,625,60000,100.0,400.0,200,1.0,0.05,1e-07,0.45,10,250,0.5,81.87083333333334,82.28333333333333,97,97
1,100,60000,100.0,400.0,275,1.0,0.05,1e-07,0.45,10,250,0.0,76.04166666666667,76.46666666666667,87,89
1,625,60000,100.0,450.0,350,1.0,0.05,1e-07,0.45,10,250,0.25,83.01666666666667,83.32083333333334,95,95
1,625,60000,100.0,400.0,350,1.0,0.05,1e-07,0.45,10,250,0.75,83.50833333333334,83.775,94,94
1,625,60000,100.0,550.0,200,1.0,0.05,1e-07,0.45,10,250,0.25,80.25833333333334,80.52083333333333,94,93
1,400,60000,100.0,500.0,275,1.0,0.05,1e-07,0.45,10,250,0.25,84.6625,84.84583333333333,95,94
1,625,60000,100.0,400.0,350,1.0,0.05,1e-07,0.45,10,250,0.5,83.50833333333334,83.775,94,94
1,625,60000,100.0,450.0,350,1.0,0.05,1e-07,0.45,10,250,0.5,83.01666666666667,83.32083333333334,95,95
1,400,60000,100.0,550.0,275,1.0,0.05,1e-07,0.45,10,250,0.75,83.89166666666667,84.15416666666667,94,94
1,625,60000,100.0,450.0,350,1.0,0.05,1e-07,0.45,10,250,0.0,83.01666666666667,83.32083333333334,95,95
1,625,60000,100.0,400.0,350,1.0,0.05,1e-07,0.45,10,250,0.0,83.50833333333334,83.775,94,94
1,625,60000,100.0,500.0,350,1.0,0.05,1e-07,0.45,10,250,0.75,83.30833333333334,83.49166666666666,94,94
